# TIME-DEPENDENT DIPOLE MOMENT FROM RT-TDDFT
# UNITS: [TIME] = fs | [DIPOLE] = a.u.
# TIME | DIPOLE_X | DIPOLE_Y | DIPOLE_Z 
      0.00000000         0.435281073262114E+06         0.435685404420836E+06         0.426305483248911E+06
      0.00483777         0.435280936370014E+06         0.435685404405537E+06         0.426305483216092E+06
      0.00967554         0.435280549435671E+06         0.435685404322082E+06         0.426305483169925E+06
      0.01451331         0.435280082947653E+06         0.435685404121134E+06         0.426305483240011E+06
      0.01935107         0.435279692557464E+06         0.435685403762642E+06         0.426305483554161E+06
      0.02418884         0.435279394779384E+06         0.435685403207590E+06         0.426305484213792E+06
      0.02902661         0.435279199256159E+06         0.435685402448282E+06         0.426305485236829E+06
      0.03386438         0.435279090703747E+06         0.435685401531130E+06         0.426305486569617E+06
      0.03870215         0.435279047162657E+06         0.435685400516609E+06         0.426305488181220E+06
      0.04353992         0.435279050429106E+06         0.435685399446198E+06         0.426305489937851E+06
      0.04837769         0.435279083313777E+06         0.435685398399700E+06         0.426305491658751E+06
      0.05321545         0.435279132311735E+06         0.435685397425698E+06         0.426305493226213E+06
      0.05805322         0.435279190641421E+06         0.435685396513785E+06         0.426305494493721E+06
      0.06289099         0.435279256481273E+06         0.435685395664260E+06         0.426305495410507E+06
      0.06772876         0.435279329691956E+06         0.435685394843465E+06         0.426305495992679E+06
      0.07256653         0.435279405742814E+06         0.435685393973796E+06         0.426305496189196E+06
      0.07740430         0.435279475898640E+06         0.435685392981195E+06         0.426305496130330E+06
      0.08224206         0.435279537209836E+06         0.435685391863324E+06         0.426305495973003E+06
      0.08707983         0.435279590587189E+06         0.435685390613495E+06         0.426305495625679E+06
      0.09191760         0.435279634314529E+06         0.435685389196002E+06         0.426305495106032E+06
      0.09675537         0.435279670792304E+06         0.435685387681420E+06         0.426305494516024E+06
      0.10159314         0.435279709863182E+06         0.435685386080758E+06         0.426305493777719E+06
      0.10643091         0.435279760569695E+06         0.435685384396200E+06         0.426305492832671E+06
      0.11126868         0.435279825892419E+06         0.435685382766297E+06         0.426305491787418E+06
      0.11610644         0.435279907192422E+06         0.435685381238277E+06         0.426305490771553E+06
      0.12094421         0.435280005390166E+06         0.435685379827210E+06         0.426305489845453E+06
      0.12578198         0.435280115776005E+06         0.435685378634238E+06         0.426305489113282E+06
      0.13061975         0.435280228912344E+06         0.435685377720303E+06         0.426305488679858E+06
      0.13545752         0.435280336640846E+06         0.435685377114210E+06         0.426305488575773E+06
      0.14029529         0.435280433993654E+06         0.435685376867785E+06         0.426305488748948E+06
      0.14513306         0.435280517503328E+06         0.435685376966498E+06         0.426305489065152E+06
      0.14997082         0.435280585788532E+06         0.435685377293469E+06         0.426305489546068E+06
      0.15480859         0.435280640429860E+06         0.435685377769372E+06         0.426305490159396E+06
      0.15964636         0.435280684507812E+06         0.435685378350070E+06         0.426305490621915E+06
      0.16448413         0.435280721800970E+06         0.435685378914599E+06         0.426305490899423E+06
      0.16932190         0.435280755069398E+06         0.435685379336379E+06         0.426305491120352E+06
      0.17415967         0.435280784923083E+06         0.435685379570309E+06         0.426305491151396E+06
      0.17899743         0.435280812931955E+06         0.435685379607446E+06         0.426305490892099E+06
      0.18383520         0.435280841016894E+06         0.435685379426085E+06         0.426305490462587E+06
      0.18867297         0.435280868384842E+06         0.435685379108971E+06         0.426305489842417E+06
      0.19351074         0.435280896011056E+06         0.435685378804219E+06         0.426305488912665E+06
      0.19834851         0.435280928001564E+06         0.435685378533841E+06         0.426305487665033E+06
      0.20318628         0.435280965010946E+06         0.435685378339284E+06         0.426305486054103E+06
      0.20802405         0.435281004406590E+06         0.435685378330980E+06         0.426305484139729E+06
      0.21286181         0.435281045107727E+06         0.435685378461727E+06         0.426305481970590E+06
      0.21769958         0.435281085889677E+06         0.435685378574480E+06         0.426305479521785E+06
      0.22253735         0.435281122293363E+06         0.435685378567271E+06         0.426305477179017E+06
      0.22737512         0.435281149252132E+06         0.435685378370159E+06         0.426305475225248E+06
      0.23221289         0.435281164579628E+06         0.435685377881494E+06         0.426305473502894E+06
      0.23705066         0.435281167653279E+06         0.435685377083705E+06         0.426305472149329E+06
      0.24188843         0.435281158664222E+06         0.435685376107984E+06         0.426305471327497E+06
      0.24672619         0.435281141046965E+06         0.435685375105669E+06         0.426305470730407E+06
      0.25156396         0.435281119797298E+06         0.435685374189130E+06         0.426305470174027E+06
      0.25640173         0.435281098732228E+06         0.435685373481531E+06         0.426305469717181E+06
      0.26123950         0.435281081405451E+06         0.435685373143037E+06         0.426305469259665E+06
      0.26607727         0.435281070075042E+06         0.435685373236631E+06         0.426305468774028E+06
      0.27091504         0.435281064809166E+06         0.435685373670475E+06         0.426305468353055E+06
      0.27575280         0.435281065177565E+06         0.435685374352238E+06         0.426305468095331E+06
      0.28059057         0.435281069536951E+06         0.435685375204094E+06         0.426305468185605E+06
      0.28542834         0.435281075294141E+06         0.435685376082469E+06         0.426305468622675E+06
      0.29026611         0.435281081429109E+06         0.435685376866358E+06         0.426305469342484E+06
      0.29510388         0.435281086994855E+06         0.435685377575236E+06         0.426305470430344E+06
      0.29994165         0.435281090132493E+06         0.435685378343467E+06         0.426305471736174E+06
      0.30477942         0.435281090505864E+06         0.435685379251330E+06         0.426305472981988E+06
      0.30961718         0.435281088521031E+06         0.435685380263646E+06         0.426305474071678E+06
      0.31445495         0.435281083849757E+06         0.435685381452913E+06         0.426305474874259E+06
      0.31929272         0.435281077062332E+06         0.435685382914706E+06         0.426305475248549E+06
